Algorithm,time,n,m,scenario
binary_search,1.59740447998e-05,2502,832,aaa
binary_search,9.05990600586e-06,1261,420,random
binary_search,1.31130218506e-05,2522,840,aaa
binary_search,9.05990600586e-06,1271,423,random
binary_search,1.19209289551e-05,2542,846,aaa
binary_search,8.10623168945e-06,1281,426,random
binary_search,1.09672546387e-05,2562,852,aaa
binary_search,8.10623168945e-06,1291,430,random
binary_search,1.19209289551e-05,2582,860,aaa
binary_search,8.10623168945e-06,1301,433,random
binary_search,1.09672546387e-05,2602,866,aaa
binary_search,7.15255737305e-06,1311,436,random
binary_search,1.00135803223e-05,2622,872,aaa
binary_search,8.10623168945e-06,1321,440,random
binary_search,1.09672546387e-05,2642,880,aaa
binary_search,8.10623168945e-06,1331,443,random
binary_search,9.77516174316e-06,2662,886,aaa
binary_search,8.10623168945e-06,1341,446,random
binary_search,1.09672546387e-05,2682,892,aaa
binary_search,6.91413879395e-06,1351,450,random
binary_search,1.09672546387e-05,2702,900,aaa
binary_search,7.86781311035e-06,1361,453,random
binary_search,1.21593475342e-05,2722,906,aaa
binary_search,6.91413879395e-06,1371,456,random
binary_search,1.00135803223e-05,2742,912,aaa
binary_search,7.86781311035e-06,1381,460,random
binary_search,1.09672546387e-05,2762,920,aaa
binary_search,8.10623168945e-06,1391,463,random
binary_search,1.09672546387e-05,2782,926,aaa
binary_search,7.86781311035e-06,1401,466,random
binary_search,1.38282775879e-05,2802,932,aaa
binary_search,8.10623168945e-06,1411,470,random
binary_search,1.09672546387e-05,2822,940,aaa
binary_search,6.91413879395e-06,1421,473,random
binary_search,1.09672546387e-05,2842,946,aaa
binary_search,1.00135803223e-05,1431,476,random
binary_search,1.09672546387e-05,2862,952,aaa
binary_search,1.09672546387e-05,1441,480,random
binary_search,1.09672546387e-05,2882,960,aaa
binary_search,1.09672546387e-05,1451,483,random
binary_search,1.09672546387e-05,2902,966,aaa
binary_search,9.05990600586e-06,1461,486,random
binary_search,1.00135803223e-05,2922,972,aaa
binary_search,1.00135803223e-05,1471,490,random
binary_search,1.00135803223e-05,2942,980,aaa
binary_search,8.82148742676e-06,1481,493,random
binary_search,1.09672546387e-05,2962,986,aaa
binary_search,1.28746032715e-05,1491,496,random
binary_search,2.31266021729e-05,2982,992,aaa
binary_search,1.69277191162e-05,1501,500,random
binary_search,1.50203704834e-05,3002,1000,aaa
binary_search,1.19209289551e-05,1511,503,random
binary_search,1.09672546387e-05,3022,1006,aaa
binary_search,1.09672546387e-05,1521,506,random
binary_search,1.28746032715e-05,3042,1012,aaa
binary_search,1.12056732178e-05,1531,510,random
binary_search,1.09672546387e-05,3062,1020,aaa
binary_search,1.90734863281e-05,1541,513,random
binary_search,1.09672546387e-05,3082,1026,aaa
binary_search,1.12056732178e-05,1551,516,random
binary_search,2.40802764893e-05,3102,1032,aaa
binary_search,1.78813934326e-05,1561,520,random
binary_search,1.31130218506e-05,3122,1040,aaa
binary_search,1.4066696167e-05,1571,523,random
binary_search,1.09672546387e-05,3142,1046,aaa
binary_search,1.09672546387e-05,1581,526,random
binary_search,1.62124633789e-05,3162,1052,aaa
binary_search,1.31130218506e-05,1591,530,random
binary_search,1.09672546387e-05,3182,1060,aaa
binary_search,1.21593475342e-05,1601,533,random
binary_search,1.09672546387e-05,3202,1066,aaa
binary_search,1.09672546387e-05,1611,536,random
binary_search,1.81198120117e-05,3222,1072,aaa
binary_search,1.28746032715e-05,1621,540,random
binary_search,1.4066696167e-05,3242,1080,aaa
binary_search,1.19209289551e-05,1631,543,random
binary_search,1.21593475342e-05,3262,1086,aaa
binary_search,1.19209289551e-05,1641,546,random
binary_search,1.50203704834e-05,3282,1092,aaa
binary_search,2.19345092773e-05,1651,550,random
binary_search,1.71661376953e-05,3302,1100,aaa
binary_search,1.09672546387e-05,1661,553,random
binary_search,1.12056732178e-05,3322,1106,aaa
binary_search,1.28746032715e-05,1671,556,random
binary_search,2.00271606445e-05,3342,1112,aaa
binary_search,1.31130218506e-05,1681,560,random
binary_search,1.69277191162e-05,3362,1120,aaa
binary_search,1.09672546387e-05,1691,563,random
binary_search,1.09672546387e-05,3382,1126,aaa
binary_search,1.00135803223e-05,1701,566,random
binary_search,1.4066696167e-05,3402,1132,aaa
binary_search,1.78813934326e-05,1711,570,random
binary_search,1.28746032715e-05,3422,1140,aaa
binary_search,1.09672546387e-05,1721,573,random
binary_search,1.31130218506e-05,3442,1146,aaa
binary_search,1.00135803223e-05,1731,576,random
binary_search,2.09808349609e-05,3462,1152,aaa
binary_search,1.4066696167e-05,1741,580,random
binary_search,1.59740447998e-05,3482,1160,aaa
binary_search,1.19209289551e-05,1751,583,random
binary_search,1.19209289551e-05,3502,1166,aaa
binary_search,1.09672546387e-05,1761,586,random
binary_search,3.71932983398e-05,3522,1172,aaa
binary_search,1.4066696167e-05,1771,590,random
binary_search,1.71661376953e-05,3542,1180,aaa
binary_search,1.4066696167e-05,1781,593,random
binary_search,1.50203704834e-05,3562,1186,aaa
binary_search,1.50203704834e-05,1791,596,random
binary_search,1.59740447998e-05,3582,1192,aaa
binary_search,1.4066696167e-05,1801,600,random
binary_search,1.09672546387e-05,3602,1200,aaa
binary_search,1.09672546387e-05,1811,603,random
binary_search,2.69412994385e-05,3622,1206,aaa
binary_search,1.59740447998e-05,1821,606,random
binary_search,1.28746032715e-05,3642,1212,aaa
binary_search,1.19209289551e-05,1831,610,random
binary_search,1.21593475342e-05,3662,1220,aaa
binary_search,1.09672546387e-05,1841,613,random
binary_search,2.50339508057e-05,3682,1226,aaa
binary_search,1.59740447998e-05,1851,616,random
binary_search,1.31130218506e-05,3702,1232,aaa
binary_search,1.38282775879e-05,1861,620,random
binary_search,1.09672546387e-05,3722,1240,aaa
binary_search,1.19209289551e-05,1871,623,random
binary_search,9.05990600586e-06,3742,1246,aaa
binary_search,1.00135803223e-05,1881,626,random
binary_search,9.05990600586e-06,3762,1252,aaa
binary_search,1.00135803223e-05,1891,630,random
binary_search,1.00135803223e-05,3782,1260,aaa
binary_search,1.00135803223e-05,1901,633,random
binary_search,2.38418579102e-05,3802,1266,aaa
binary_search,1.71661376953e-05,1911,636,random
binary_search,1.31130218506e-05,3822,1272,aaa
binary_search,1.31130218506e-05,1921,640,random
binary_search,2.8133392334e-05,3842,1280,aaa
binary_search,1.4066696167e-05,1931,643,random
binary_search,1.19209289551e-05,3862,1286,aaa
binary_search,1.28746032715e-05,1941,646,random
binary_search,1.00135803223e-05,3882,1292,aaa
binary_search,1.00135803223e-05,1951,650,random
binary_search,1.09672546387e-05,3902,1300,aaa
binary_search,1.09672546387e-05,1961,653,random
binary_search,1.09672546387e-05,3922,1306,aaa
binary_search,1.09672546387e-05,1971,656,random
binary_search,1.50203704834e-05,3942,1312,aaa
binary_search,1.09672546387e-05,1981,660,random
binary_search,1.28746032715e-05,3962,1320,aaa
binary_search,1.09672546387e-05,1991,663,random
binary_search,1.19209289551e-05,3982,1326,aaa
binary_search,1.09672546387e-05,2001,666,random
binary_search,1.09672546387e-05,4002,1332,aaa
binary_search,1.09672546387e-05,2011,670,random
binary_search,1.09672546387e-05,4022,1340,aaa
binary_search,1.09672546387e-05,2021,673,random
binary_search,1.31130218506e-05,4042,1346,aaa
binary_search,1.09672546387e-05,2031,676,random
binary_search,1.59740447998e-05,4062,1352,aaa
binary_search,1.78813934326e-05,2041,680,random
binary_search,1.59740447998e-05,4082,1360,aaa
binary_search,1.4066696167e-05,2051,683,random
binary_search,1.69277191162e-05,4102,1366,aaa
binary_search,1.31130218506e-05,2061,686,random
binary_search,1.31130218506e-05,4122,1372,aaa
binary_search,1.09672546387e-05,2071,690,random
binary_search,1.09672546387e-05,4142,1380,aaa
binary_search,1.09672546387e-05,2081,693,random
binary_search,1.19209289551e-05,4162,1386,aaa
binary_search,1.19209289551e-05,2091,696,random
binary_search,1.09672546387e-05,4182,1392,aaa
binary_search,1.09672546387e-05,2101,700,random
binary_search,1.31130218506e-05,4202,1400,aaa
binary_search,1.09672546387e-05,2111,703,random
binary_search,1.21593475342e-05,4222,1406,aaa
binary_search,1.19209289551e-05,2121,706,random
binary_search,1.21593475342e-05,4242,1412,aaa
binary_search,1.00135803223e-05,2131,710,random
binary_search,1.09672546387e-05,4262,1420,aaa
binary_search,1.00135803223e-05,2141,713,random
binary_search,1.00135803223e-05,4282,1426,aaa
binary_search,1.00135803223e-05,2151,716,random
binary_search,1.00135803223e-05,4302,1432,aaa
binary_search,1.09672546387e-05,2161,720,random
binary_search,1.28746032715e-05,4322,1440,aaa
binary_search,1.09672546387e-05,2171,723,random
binary_search,1.38282775879e-05,4342,1446,aaa
binary_search,1.09672546387e-05,2181,726,random
binary_search,1.09672546387e-05,4362,1452,aaa
binary_search,1.21593475342e-05,2191,730,random
binary_search,1.90734863281e-05,4382,1460,aaa
binary_search,1.69277191162e-05,2201,733,random
binary_search,1.4066696167e-05,4402,1466,aaa
binary_search,1.00135803223e-05,2211,736,random
binary_search,1.09672546387e-05,4422,1472,aaa
