Algorithm,time,n
sorted_python,2.5033950805664062e-05,7451
sorted_python,3.266334533691406e-05,7501
sorted_python,2.8133392333984375e-05,7551
sorted_python,2.8371810913085938e-05,7601
sorted_python,3.910064697265625e-05,7651
sorted_python,3.266334533691406e-05,7701
sorted_python,2.9802322387695312e-05,7751
sorted_python,3.62396240234375e-05,7801
sorted_python,3.504753112792969e-05,7851
sorted_python,4.601478576660156e-05,7901
sorted_python,3.5762786865234375e-05,7951
sorted_python,3.0994415283203125e-05,8001
sorted_python,7.915496826171875e-05,8051
sorted_python,4.506111145019531e-05,8101
sorted_python,4.1961669921875e-05,8151
sorted_python,3.504753112792969e-05,8201
sorted_python,3.4809112548828125e-05,8251
sorted_python,3.1948089599609375e-05,8301
sorted_python,3.5762786865234375e-05,8351
sorted_python,3.5762786865234375e-05,8401
sorted_python,3.1948089599609375e-05,8451
sorted_python,3.0994415283203125e-05,8501
sorted_python,3.075599670410156e-05,8551
sorted_python,4.00543212890625e-05,8601
sorted_python,5.3882598876953125e-05,8651
sorted_python,5.91278076171875e-05,8701
sorted_python,4.00543212890625e-05,8751
sorted_python,3.5762786865234375e-05,8801
sorted_python,3.0040740966796875e-05,8851
sorted_python,5.3882598876953125e-05,8901
sorted_python,4.8160552978515625e-05,8951
sorted_python,4.220008850097656e-05,9001
sorted_python,4.291534423828125e-05,9051
sorted_python,3.1948089599609375e-05,9101
sorted_python,3.1948089599609375e-05,9151
sorted_python,7.081031799316406e-05,9201
sorted_python,5.5789947509765625e-05,9251
sorted_python,5.507469177246094e-05,9301
sorted_python,4.100799560546875e-05,9351
sorted_python,3.3855438232421875e-05,9401
sorted_python,3.409385681152344e-05,9451
sorted_python,3.2901763916015625e-05,9501
sorted_python,3.314018249511719e-05,9551
sorted_python,6.413459777832031e-05,9601
sorted_python,3.3855438232421875e-05,9651
sorted_python,3.266334533691406e-05,9701
sorted_python,3.409385681152344e-05,9751
sorted_python,7.581710815429688e-05,9801
sorted_python,5.2928924560546875e-05,9851
sorted_python,4.57763671875e-05,9901
sorted_python,4.8160552978515625e-05,9951
sorted_python,4.506111145019531e-05,10001
sorted_python,3.5762786865234375e-05,10051
sorted_python,3.62396240234375e-05,10101
sorted_python,3.4809112548828125e-05,10151
sorted_python,3.695487976074219e-05,10201
sorted_python,3.600120544433594e-05,10251
sorted_python,3.409385681152344e-05,10301
sorted_python,8.082389831542969e-05,10351
sorted_python,5.793571472167969e-05,10401
sorted_python,5.4836273193359375e-05,10451
sorted_python,4.506111145019531e-05,10501
sorted_python,6.389617919921875e-05,10551
sorted_python,3.5762786865234375e-05,10601
sorted_python,5.5789947509765625e-05,10651
sorted_python,3.4809112548828125e-05,10701
sorted_python,3.790855407714844e-05,10751
sorted_python,3.6716461181640625e-05,10801
sorted_python,3.719329833984375e-05,10851
sorted_python,3.695487976074219e-05,10901
sorted_python,3.695487976074219e-05,10951
sorted_python,3.790855407714844e-05,11001
