Algorithm,time,n
radix_sort,0.002192974,52701
radix_sort,0.002511978,52801
radix_sort,0.00197196,52901
radix_sort,0.002062082,53001
radix_sort,0.002079725,53101
radix_sort,0.002227783,53201
radix_sort,0.001983881,53301
radix_sort,0.001924992,53401
radix_sort,0.001878023,53501
radix_sort,0.003308058,53601
radix_sort,0.001963139,53701
radix_sort,0.001929045,53801
radix_sort,0.001992226,53901
radix_sort,0.0019238,54001
radix_sort,0.001887083,54101
radix_sort,0.002110958,54201
radix_sort,0.002199888,54301
radix_sort,0.002459049,54401
radix_sort,0.002543211,54501
radix_sort,0.002022743,54601
radix_sort,0.002315998,54701
radix_sort,0.002117157,54801
radix_sort,0.002159119,54901
radix_sort,0.002163887,55001
radix_sort,0.002062798,55101
radix_sort,0.002012014,55201
radix_sort,0.002012014,55301
radix_sort,0.001950979,55401
radix_sort,0.001957178,55501
radix_sort,0.003114939,55601
radix_sort,0.002329111,55701
radix_sort,0.002078056,55801
radix_sort,0.002001762,55901
radix_sort,0.001947165,56001
radix_sort,0.001949787,56101
radix_sort,0.001991987,56201
radix_sort,0.001954079,56301
radix_sort,0.001947165,56401
radix_sort,0.001964092,56501
radix_sort,0.001945972,56601
radix_sort,0.002019882,56701
radix_sort,0.001992941,56801
radix_sort,0.00199914,56901
radix_sort,0.001981974,57001
radix_sort,0.002010107,57101
radix_sort,0.002053976,57201
radix_sort,0.001980305,57301
radix_sort,0.002025843,57401
radix_sort,0.001990795,57501
radix_sort,0.002042294,57601
radix_sort,0.002033949,57701
radix_sort,0.002043724,57801
radix_sort,0.002042055,57901
radix_sort,0.002527714,58001
radix_sort,0.002439737,58101
radix_sort,0.002110958,58201
radix_sort,0.002146959,58301
radix_sort,0.002106905,58401
radix_sort,0.002089024,58501
radix_sort,0.002109766,58601
radix_sort,0.002130985,58701
radix_sort,0.002221107,58801
radix_sort,0.002156973,58901
radix_sort,0.002178669,59001
radix_sort,0.002190828,59101
radix_sort,0.002289057,59201
radix_sort,0.002310991,59301
radix_sort,0.002292871,59401
radix_sort,0.002261162,59501
radix_sort,0.002255917,59601
radix_sort,0.002307177,59701
radix_sort,0.002481937,59801
radix_sort,0.002238989,59901
radix_sort,0.004004955,60001
radix_sort,0.002359152,60101
